author,title,container-title,publisher,editor,issued
"Tang, W. H. and Gilbert, R. B.",Offshore Lateral Pile Design Reliability,Research Report for Project PRAC,API,,1990
"Albus. J. S.. McCain. H. G., and Lumia. R.",NASA/NBS standard reference model for telerobot control.,Technical Report,NBS,,1987
Amidi. O.,Integrated mobile robot control.,Technical report,Robotics Institute. Carnegie Mellon University,,1990
Firby. R.,Adaptive execution in complex dynamic worlds.,Technical Report YALEU/CSD/RR #672,Yale University,,1989
Gowdy. J.,Sausages: Between planning and action.,Technical Report CMU-RI-TR-94-32,Robotics Institute. Carnegie Mellon,,1994
Gowdy. J.,IPT: An object oriented toolkit for interprocess communication.,Technical Report CMU-RI-TR-96-07,Robotics Institute. Carnegie Mellon,,1996
Hayes-Roth. E,Architecture-based acquisition and development of software: Guidelines and recommendations from the ARPA Domain-Specific Software Architecture (DSSA) program.,Technical report.,Teknowledge,,1994
M. P. Georgeff. A. L. Lansky. M. J. S.,Reasoning and planning in dynamic domains: An experiment with a mobile robot.,Technical Report 380.,SRI,,1987
,MPI: A message-passing interface standard.,Technical Report CS-94-230,University of Tennessee,,1994
Mettala. E. and Graham. M.,The domain-specific software architecture program.,Technical Report CMU/SEI-92-TR-22 ESD-92-TR-223.,Carnegie Mellon Software Engineering Institute.,,1992
Nilsson. N.,Shakev the robot.,Technical Report 323,SRI,,1984
Rosenschein. S. J.,Formal theories of knowledge in artificial intelligence.,Technical Report 362,SRI,,1985
,Science Requirements for Field Work in CReSIS,Tech. Rep. Draft v. 0.6,"Center for Remote Sensing of Ice Sheets, University of Kansas",,September 2005
,CReSIS Technology Requirements,Tech. Rep. Version 2.0,"Center for Remote Sensing of Ice Sheets, University of Kansas",,February 2006
"B. Espiau, K. Kapellos, M. Jourdan, and D. Simon",On the Validation of Robotics Control Systems. Part I: High level Specification and Formal Verification,"Inria Research, Tech. Rep. 2719",,,November 1995
T. McGibon,An Analysis of Two Formal Methods: VDMandZ,Tech. Rep. DACS-CRTA-97-1,DoD Data and Analysis Center for Software,,August 1997
"F. Rossi, C. Petrie, and V. Dhar",On the Equivalence of Constraint-Satisfaction Problems,Tech. Rep.,MCC Corp.,,1989
"Agenor, P.R., and Moreno-Dodson, B.",Public Infrastructure and Growth: New Channels and Policy Implications.,Working paper,,,2006
"Alchian, Armen A.",The Basis of Some Recent Advances in the Theory of Channels and Policy Implications.,Working paper,,,1965
"Beck, Thorsten, Demirguc-Kunt, Asli , Laeven, Luc A. and Levine, Ross","Finance, Firm Size, and Growth",NBER Working Paper No. W10983,,,2004
"Calderon, C. and Severn, L.",The effects of infrastructure development on growth and income distribution,Working paper no. 270.,Central Bank of Chile,,2004
"Canning, D.",Infrastructure's contribution to aggregate output.,Working Paper 2246,World Bank Policy Research,,1999
"Dethier J., Ghanem H., and Zoli E.",Does democracy facilitate economic transition: An empirical study of Central and Eastern Europe and the former Soviet Union.,Working Paper 2194,World Bank Policy Research,,1999
"Djankov, Simeon, La Porta, Rafael, Lopez de Silanes, Florencio and Shleifer, Andrei",Courts: The Lex Mundi Project,NBER Working Paper No. W8890.,,,April 2002
"Djankov, Simeon, Hart , Oliver D., McLiesh, Caralee and Shleifer, Andrei",Debt Enforcement Around the World,ECGI - Finance Working Paper No. 147/2007,,,"December 20, 2006"
"Hart, Oliver D. and Holmstrom, Bengt R.",A Theory of Firm Scope,Working Paper No. 02-42,MIT Department of Economics,,"November 4, 2002"
"Jensen, Olivia and Blanc-Brude, Frederic",The handshake : why do governments and firms sign private sector participation deals ? Evidence from the water and sanitation sector in developing countries,Working Paper 3937,World Bank Policy Research,,2006
"Kaufman, D. and Wei, S. J.",Does Grease Money Speed Up the Wheels of Commerce?,working paper 7093,National Bureau of Economic Research,,1999
"Mankiw, N., G.",The Macroeconomist as Scientist and Engineer.,NBER Working Paper No. W12349,,,2006
"Radcliffe, Daniel and Rati Tripathi",Sharpening the Debate: Assessing the Key Constraints in Indian Micro Credit Regulation,working paper series,Institute for Financial Management and Research,,2006
"Rodrik, Dani",Normalizing Industrial Policy,,,,2007
"Trujillo, L., Martin, N., Estache, and Campos, J.",Macroeconomics Effects of Private Participation in Latin America's Infrastructure,Policy Research Working Paper 2906,World Bank Institute,,2002
"Dennis, Jr., J. E., Gay, D. M., and Welsch, R. E.",An adaptive nonlinear least squares algorithm,tech. rep.,NBER,,August 1977
"Nazareth, J. L.","A hybrid least squares method,",tech. rep.,Argonne National Laboratory,,1975
,Water security and global water agenda.,Technical report,United Nations University - Institute for Water Environment and Health,,2013
J. Bruinsma,World agriculture: towards 2015/2030,Technical report,Food and Agriculture Organization of United Nations and UN-Water,,2003
,Groundwater resources and irrigated agriculture.,Technical report,Global Water Partnership,,
,Managing water under uncertainity and risk.,Technical report,The United Nations World Water Development Report 4,,
"T. Shah, C. Scott, A. Kishore, and A. Sharma",Energy-irrigation nexus in South Asia: improving groundwater conservation and power sector viability.,Technical report,International Water Management Institute,,2004
T. Shah,Innovations ingroundwater management: examples from India,Technical report,International Water Management Institute,,2011
,EPA. Sources of Greenhouse Gas Emissions.,Technical report,United States Environment Protection Agency,,2013
S. Singh,Pumping Punjab dry.,Technical report,IEEE SPECTRUM,,2010
R. K. Sivanappan,Economics of drip irrigation method in small and marginal farms.,Technical report,Indian Council of Agricultural Research (India) ICAR,,1978
,The human right to water and sanitation.,Technical Report 292,,,
W. R. Martini,Stirling engine design manual.,Technical report,U.S. Department of Energy,,1983
,International Atomic Energy Agency.,IAEA Annual Report,,,2005
,M.Dhar. Stirlingspaceengineprogram.,Technical report,National Aeronautics and Space Administration (NASA),,1999
T. Finkelstein,Generalized thermodynamic analysis of Stirling cycle engines.,SAE Technical Paper,,,1960
S. H. Walpita,Development of the solar receiver for a small Stirling engine.,Technical report,Asian Institute of Technology,,1983
K. Hirata,Schmidt theory for Stirling engines.,Technical report,National Maritime Research Institute,,1997
L. W. James,Use of imaging refractive secondaries in photovoltaic concentrators.,Technical report,Sandia National Labs,,1989
R. K. Shaltens and J. G. Schreiber,Comparision of conceptual designs for 25k We advanced Stirling conversion systems for dish electric applications.,Technical report,NASA Lewis Research Center,,1989
P. G. Salvailand R. R. Carter,Alkali metal handling practices at NASA MSFC.,Technical report,NASA Marshall Space Flight Center,,2002
G. Palano,Harvesting the Sun for hot water on farms.,Technical report,Massachusetts Farm Energy Program,,2011
R. K. Sivanappan and O. Padmakumari,Economics of drip irrigation for water scarceregions.,Technical report,Indian Council of Agricultural Research (India) ICAR,,1979
C. D. Gustafson,History and present trends of drip irrigation.,Technical report,California Avocado Society Yearbook,,1979
,Drip irrigation manual for farmers in arabic.,Technical report,UN water and FAO,,2012
"Hall, G., Rutherford, W., & Griffin, T.",Three change facilitator styles: Some indicators and a proposed framework.,R & D Reports,,,1982
"Sanders, W. & Rivers, J.",Cumulative and residual effects of teachers on future student academic achievement.,,University of Tennessee Value Added Research and Assessment Center.,,1996
,The need for quality: A report to the southern regional education board by its task force on higher education and the schools.,,"Southern Regional Education Board, A.A.",,1981
"Valentine, J. & Keefe, J. W.",The middle level principalship : Report of national study of schools in the middle.,,National Association of Secondary School Principals,,1981
"Englebart, D.",Augmenting human intellect: A conceptual framework.,Technical report,Stanford Research Institute,,1962
"Hanrahan, B. V.",The effect of social proximity on email triage.,Technical report,Human Information Processing Scholar Series for Virginia Polytechnic Institute and State University,,2011
"Venolia, G. D., Dabbish, L., Cadiz, J., and Gupta, A.",Supporting email workflow.,"Technical report, MSR-TR-2001-88",Microsoft Research,,2001
"Bloom, S. et al.",Documentation and validation of the Goddard Earth Observing System (GEOS) data assimilation system,Tech. Report Series on Global Modeling and Data Assimilation,,,2005
"Chou, M.-D., and M. J. Suarez",A solar radiation parameterization for atmospheric studies,NASA Tech. Rep. NASA/TM-1999-10460,,,1999
"Chou, M.-D., M. J. Suarez, X. Z. Liang, and M. M.-H. Yan",A thermal infrared radiation parameterization for atmospheric studies,NASA Tech. Rep. NASA/TM-2001-104606,NASA Goddard Space Flight Cent.,,2001
"Rienecker, M. M. et al.","The GEOS-5 Data Assimilation System - Documentation of Versions 5.0.1, 5.1.0, and 5.2.0",,NASA GSFC,,2008
"Lantz, C.W., Kraus, J.F.",A guide to southern pine seed sources.,,Southeastern Forest Experiment Station,,1987
"Bea, R. G.","Loading and Load Effects Uncertainties: Verification Program for the CSA Code for the Design, Construction, and Installation of Fixed Offshore Structures",Canadian Standards Association Project No. D-3,"Department of Naval Architecture and Offshore Engineering and Department of Civil Engineering, University of California at Berkeley",,October 1991
"Goyal, A., and Chopra, A. K.",Earthquake Analysis and Response of Intake-Outlet Towers,Report No. UCB/EERC-89/04,"Earthquake Engineering Research Center, University of California at Berkeley",,July 1989
"Haviland, R. W., Biggs, J. M., and Anagnostopoulos, S. A.",Inelastic Response Spectrum Design Procedures for Steel Frames,Publication No. R76-40,"Department of Civil Engineering, Massachusetts Institute of Technology",,September 1976
"Jain, A. L., Goel, S. C., and Hansen, R. D.",Hysteretic Behavior of Bracing Members and Seismic Response of Braced Frames with Different Proportions,,University of Michigan Report UMEE 78R3,,July 1978
"Khatib, I. F., Mahin, S. A., and Pister, K. S.",Seismic Behavior of Concentrically Braced Steel Frames,Report No. UCB/EERC-88/01,Earthquake Engineering Research Center,,January 1988
"Luyties, W. H., DI, Anagnostopoulos, S. A., and Biggs, J. M.",Studies on the Inelastic Dynamic Analysis and Design of Multi-Story Frames,Publication No. R76-29,"Department of Civil Engineering, Massachusetts Institute of Technology",,July 1976
"Mahin, S. A., and Boroschek, R. L.",Influence o f Geometric Nonlinearities on the Seismic Response and Design of Bridge Structures,Report to CalTrans Division of Structures,,,October 1991
"Mahin, S. A., and Lin, J.",Construction of Inelastic Response Spectra for Single-Degree-of-Freedom Systems: Computer Program and Applications,Report No. UCB/EERC-83/17,"Earthquake Engineering Research Center, University of California at Berkeley",,June 1983
"Miranda, E.",Seismic Evaluation and Upgrading of Existing Buildings,Ph.D. Dissertation,"Department of Civil Engineering, University of California",,June 1991
"Nassar, A., and Krawinkler, H.",Seismic Demands for SDOF and MDOF Systems,Report No. 95,"John Blume Earthquake Engineering Center, Stanford University",,1990
"Riddell, R., and Newmark, N. M.",Statistical Analysis of the Response of Nonlinear Systems Subjected to Earthquakes,Structural Research Series No. 468,"Department of Civil Engineering, University of Illinois",,1979
"Rosenblueth, E.",A Basis for Aseismic Design,Ph.D. Thesis,"Department of Civil Engineering, University of Illinois at Urbana-Champaign",,1951
"Saiidi, M., and Sozen, M. A.",Simple and Complex Models for Nonlinear Seismic Response of Reinforced Concrete Structures,Structural Research Series Report No. 465,"Department of Civil Engineering, University of Illinois at Urbana-Champaign",,August 1979
"Smith, C. E.",Dynamic Response of Offshore Steel-Jacket Platforms Subject to Measured Seafloor Seismic Ground Motions,Dr. Sc. Dissertation,"Graduate School of Engineering and Applied Science, George Washington University",,March 1994
Mataric. M. J.,A distributed model for mobile robot environment-learning and navigation.,,Master's thesis,,1990
K. K. Yin,Numerical modelling of agglomerate degradation.,PhD thesis,The University of Aston in Birmingham,,1992
W. L. Vargas,Discrete Modeling of Heat Conduction in Granular Media,PhD thesis,,,2002
"Yovel, I.",Anxiety-related attentional biases in spatial and temporal dimensions.,Dissertation Abstracts International: Section B: The Sciences and Engineering,,,2003
S. Burion,Human detection for robotic urban search and rescue,Master's thesis,"Robotics Institute, Carnegie Mellon University",,2004
P. Pirjanian,Multiple Objective action Selection & Behavior Fusion using Voting,Ph.D. dissertation,Aalborg University Denmark,,April 1998
G. Steele,The definition and implementation of a computer programming language based on constraints,Ph.D. dissertation,"Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology",,1980
"Piepmeier, J. A.",A Dynamic quasi-Newton method for model independent visual servoing.,PhD thesis,Georgia Institute of Technology,,1999
"Vanden Berghen, I. F.","CONDOR: a constrained, non-linear, derivative-free parallel optimizer for continuous, high computing load, noisy objective functions.",Phd thesis,,,2004
Y. Z. Shan,Oscillatory flow and heat transfer in a Stirling engine regenerator.,PhD thesis,Case Western Reserve University,,1993
S. Merchant,Regularizing free energy calculations to study ion specific effects in biology,,Johns Hopkins University,,2011
